City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,balykshi,47.0667,51.8667,24.8,74,75,8.95,KZ,1733523231
329,carutapera,-1.195,-46.02,78.31,75,98,10.4,BR,1733523232
330,cerro de ortega,18.75,-103.7667,84.85,61,10,6.31,MX,1733523235
331,bathsheba,13.2167,-59.5167,81.21,74,20,14.97,BB,1733523237
332,aasiaat,68.7098,-52.8699,-8.43,94,74,11.34,GL,1733523239
333,thunder bay,48.4001,-89.3168,16.97,83,99,2.75,CA,1733523240
334,kyshtovka,56.555,76.6271,5.09,97,92,5.86,RU,1733523241
335,baiti,13.745,-14.7482,80.55,13,78,12.17,SN,1733523242
336,noumea,-22.2763,166.4572,84.0,99,100,12.73,NC,1733523243
337,kijang,35.2442,129.2139,36.16,52,100,8.75,KR,1733523245
338,balabac,7.9868,117.0645,78.66,83,96,1.19,PH,1733523246
339,i-n-salah,27.1935,2.4607,58.01,23,1,8.93,DZ,1733523247
340,gadzhiyevo,69.2551,33.3362,18.14,95,75,16.84,RU,1733523248
341,phultala,22.7,89.5167,60.35,49,0,3.83,BD,1733523250
342,kisiwani,-4.1333,37.95,71.33,85,75,2.55,TZ,1733523251
343,chabahar,25.2919,60.643,74.1,46,76,8.25,IR,1733523252
344,baker city,44.7749,-117.8344,45.01,56,77,2.62,US,1733523253
345,chokwe,-24.5333,32.9833,77.95,83,51,11.03,MZ,1733523254
346,wasco,35.5941,-119.341,63.79,67,0,0.0,US,1733523084
347,hotan,37.0997,79.9269,28.47,49,21,3.85,CN,1733523257
348,north platte,41.1239,-100.7654,60.69,25,0,4.61,US,1733523258
349,vytegra,61.0064,36.4481,20.21,85,79,9.26,RU,1733523259
350,rockland,41.1668,-74.0496,30.79,50,72,1.01,US,1733523261
351,motueka,-41.1333,173.0167,72.1,54,39,4.41,NZ,1733523262
352,lespezi,47.3667,26.7,31.86,97,87,5.59,RO,1733523263
353,palikir - national government center,6.9248,158.1611,83.25,79,100,8.05,FM,1733523264
354,alvear,-29.0968,-56.5504,77.83,86,92,9.22,AR,1733523266
355,santiago juxtlahuaca,17.3333,-98.0167,72.03,38,41,3.11,MX,1733523267
356,atafu village,-8.5421,-172.5159,82.2,80,44,13.0,TK,1733523268
357,katabu,-4.9333,122.5167,75.76,94,100,3.98,ID,1733523269
358,zhanaozen,43.3,52.8,34.0,79,83,8.59,KZ,1733523270
359,fada n'gourma,12.0622,0.3578,73.78,18,39,8.77,BF,1733523272
360,port isabel,26.0734,-97.2086,72.01,87,100,18.01,US,1733523273
